Volt,Intensity,I
-0.1,50,-4.40193E-06
-0.05,50,-1.71206E-06
0.05,50,1.81185E-06
0.1,50,2.9048E-06
0.15,50,5.13899E-06
0.2,50,6.25642E-06
0.25,50,8.47681E-06
0.3,50,9.58174E-06
0.35,50,1.18566E-05
0.4,50,1.30286E-05
0.45,50,1.55231E-05
0.5,50,1.67178E-05
0.55,50,1.9343E-05
0.6,50,2.07762E-05
0.65,50,2.22237E-05
0.7,50,2.52761E-05
0.75,50,2.70649E-05
0.8,50,3.0733E-05
0.85,50,3.27023E-05
0.9,50,3.69327E-05
0.95,50,3.93132E-05
1,50,4.43414E-05
1.05,50,4.73353E-05
1.1,50,5.33945E-05
1.15,50,5.70258E-05
1.2,50,6.40591E-05
1.25,50,6.87061E-05
1.3,50,7.74703E-05
1.35,50,8.24149E-05
1.4,50,9.27429E-05
1.45,50,9.91843E-05
1.5,50,0.000105648
1.55,50,0.000117675
1.6,50,0.000125088
1.65,50,0.000140248
1.7,50,0.000148475
1.75,50,0.000165869
1.8,50,0.000175795
1.85,50,0.000194358
1.9,50,0.000205858
1.95,50,0.000224472
2,50,0.000237815
2.05,50,0.000263159
2.1,50,0.000276541
2.15,50,0.000301488
2.2,50,0.000317969
2.25,50,0.000345421
2.3,50,0.000361103
2.35,50,0.000390881
2.4,50,0.000410172
2.45,50,0.000428026
2.5,50,0.000461343
2.55,50,0.000478466
2.6,50,0.000512597
2.65,50,0.000534013
2.7,50,0.000567782
2.75,50,0.000590188
2.8,50,0.000628008
2.85,50,0.000647885
2.9,50,0.000687267
2.95,50,0.000710064
3,50,0.000754758
3.05,50,0.00077823
3.1,50,0.000818139
3.15,50,0.00084439
3.2,50,0.000887194
3.25,50,0.000912055
3.3,50,0.000936197
3.35,50,0.000980803
3.4,50,0.00100562
-3.5,65,-0.000310565
-3.45,65,-0.000303375
-3.4,65,-0.000300161
-3.35,65,-0.000293811
-3.3,65,-0.000291034
-3.25,65,-0.000284085
-3.2,65,-0.00028227
-3.15,65,-0.000274198
-3.1,65,-0.000271385
-3.05,65,-0.000264902
-3,65,-0.00026135
-2.95,65,-0.00025399
-2.9,65,-0.000250986
-2.85,65,-0.000243604
-2.8,65,-0.000240773
-2.75,65,-0.000237358
-2.7,65,-0.000230072
-2.65,65,-0.000227363
-2.6,65,-0.000219801
-2.55,65,-0.000217035
-2.5,65,-0.000210133
-2.45,65,-0.000206435
-2.4,65,-0.000199742
-2.35,65,-0.000196135
-2.3,65,-0.000188467
-2.25,65,-0.000185415
-2.2,65,-0.000178778
-2.15,65,-0.000175986
-2.1,65,-0.000168271
-2.05,65,-0.000165141
-2,65,-0.000157927
-1.95,65,-0.000155204
-1.9,65,-0.000151725
-1.85,65,-0.000144997
-1.8,65,-0.000142228
-1.75,65,-0.000135502
-1.7,65,-0.000131979
-1.65,65,-0.000125621
-1.6,65,-0.000122356
-1.55,65,-0.000116158
-1.5,65,-0.000112892
-1.45,65,-0.00010656
-1.4,65,-0.000103432
-1.35,65,-9.71143E-05
-1.3,65,-9.4281E-05
-1.25,65,-8.78207E-05
-1.2,65,-8.51748E-05
-1.15,65,-7.8727E-05
-1.1,65,-7.55702E-05
-1.05,65,-7.27323E-05
-1,65,-6.68635E-05
-0.95,65,-6.39539E-05
-0.9,65,-5.81898E-05
-0.85,65,-5.51876E-05
-0.8,65,-4.95415E-05
-0.75,65,-4.68726E-05
-0.7,65,-4.15021E-05
-0.65,65,-3.88279E-05
-0.6,65,-3.37754E-05
-0.55,65,-3.12302E-05
-0.5,65,-2.64336E-05
-0.45,65,-2.42284E-05
-0.4,65,-1.97131E-05
-0.35,65,-1.75445E-05
-0.3,65,-1.36662E-05
-0.25,65,-1.1861E-05
-0.2,65,-9.96289E-06
-0.15,65,-6.76615E-06
-0.1,65,-5.2079E-06
-0.05,65,-2.26433E-06
0.05,65,1.53738E-06
0.1,65,2.68583E-06
0.15,65,5.04953E-06
0.2,65,6.19295E-06
0.25,65,8.51885E-06
0.3,65,9.67274E-06
0.35,65,1.21264E-05
0.4,65,1.33908E-05
0.45,65,1.60322E-05
0.5,65,1.73744E-05
0.55,65,2.02193E-05
0.6,65,2.1775E-05
0.65,65,2.33856E-05
0.7,65,2.68416E-05
0.75,65,2.87305E-05
0.8,65,3.26582E-05
0.85,65,3.48703E-05
0.9,65,3.95451E-05
0.95,65,4.23978E-05
1,65,4.80303E-05
1.05,65,5.14493E-05
1.1,65,5.83531E-05
1.15,65,6.2293E-05
1.2,65,7.03884E-05
1.25,65,7.56202E-05
1.3,65,8.54666E-05
1.35,65,9.11558E-05
1.4,65,0.000102714
1.45,65,0.000110116
1.5,65,0.000117128
1.55,65,0.000132415
1.6,65,0.000140446
