,loss,mse,mae,r_square,val_loss,val_mse,val_mae,val_r_square
3026,6.559360832270045e-10,6.559360832270045e-10,2.3227436031447724e-05,0.9918298721313477,8.617637853314264e-11,8.617637853314264e-11,8.124256055452861e-06,0.9980186223983765
3027,9.195990635646467e-10,9.195990635646467e-10,2.3985363441170193e-05,0.9890430569648743,2.2520382780832904e-10,2.2520382780832904e-10,1.3451449376589153e-05,0.9947518110275269
3028,3.0823180119377014e-10,3.0823180119377014e-10,1.4695766367367469e-05,0.9954431653022766,1.449767528249879e-10,1.449767528249879e-10,1.085542044165777e-05,0.9967400431632996
3029,2.607189797387832e-09,2.607189797387832e-09,4.3728010496124625e-05,0.9656369686126709,4.520066099189535e-09,4.520066099189535e-09,6.659764767391607e-05,0.8998750448226929
3030,1.501660129576976e-09,1.501660129576976e-09,3.192101212334819e-05,0.9816152453422546,4.381080775939239e-10,4.381080775939239e-10,1.9597642676671967e-05,0.9907474517822266
3031,4.3006417871360725e-10,4.3006417871360725e-10,1.7735630535753444e-05,0.9947938323020935,3.556303168616992e-11,3.556303168616992e-11,4.687174168793717e-06,0.999221682548523
3032,6.289875287279756e-10,6.289875287279756e-10,2.1031504729762673e-05,0.9892799258232117,7.670676593907189e-11,7.670676593907189e-11,7.676162567804568e-06,0.9982149600982666
3033,6.613559699886196e-11,6.613559699886196e-11,6.394041065505007e-06,0.9991613030433655,5.321866836105471e-10,5.321866836105471e-10,2.263296119053848e-05,0.9879406690597534
3034,1.0242683368133498e-09,1.0242683368133498e-09,2.9073888072161935e-05,0.9871793389320374,2.9086029140756864e-09,2.9086029140756864e-09,5.367661651689559e-05,0.9347744584083557
3035,1.902579871426724e-09,1.902579871426724e-09,3.5850476706400514e-05,0.9778886437416077,1.4893769550994307e-09,1.4893769550994307e-09,3.577496681828052e-05,0.9707202911376953
3036,2.2112487396697134e-09,2.2112487396697134e-09,3.877392737194896e-05,0.9733831286430359,3.025129036160479e-10,3.025129036160479e-10,1.583366611157544e-05,0.9926536679267883
3037,4.843567213974609e-10,4.843567213974609e-10,1.869010884547606e-05,0.9933221936225891,8.062862044688757e-10,8.062862044688757e-10,2.784392927424051e-05,0.9830329418182373
3038,1.0566720831661769e-09,1.0566720831661769e-09,2.9208062187535688e-05,0.9860967397689819,5.399308777853662e-10,5.399308777853662e-10,2.226652213721536e-05,0.9878314733505249
3039,2.2190585480252878e-10,2.2190585480252878e-10,1.1886815627804026e-05,0.9967447519302368,5.1732697986528464e-11,5.1732697986528464e-11,5.800248345622094e-06,0.9988033771514893
3040,2.5767407652033114e-10,2.5767407652033114e-10,1.4100429325480945e-05,0.9966624975204468,1.9005517992720655e-10,1.9005517992720655e-10,1.269588028662838e-05,0.9958680868148804
3041,4.727077063115814e-10,4.727077063115814e-10,1.9233650164096616e-05,0.9937767386436462,1.329272691918959e-09,1.329272691918959e-09,3.606954851420596e-05,0.970268726348877
3042,2.4166364465116885e-09,2.4166364465116885e-09,4.423159407451749e-05,0.9688997864723206,5.051389084798075e-09,5.051389084798075e-09,7.076071779010817e-05,0.8859279155731201
3043,2.3799222592657543e-09,2.3799222592657543e-09,4.370560054667294e-05,0.9721795916557312,5.036655537082879e-10,5.036655537082879e-10,2.1189454855630174e-05,0.9896038174629211
3044,8.368112869305833e-10,8.368112869305833e-10,2.4005037630558945e-05,0.9901748895645142,1.1819738521268164e-09,1.1819738521268164e-09,3.386985190445557e-05,0.9740931987762451
3045,8.003247509158484e-10,8.003247509158484e-10,2.5113353331107646e-05,0.9899329543113708,3.9999833306714194e-11,3.9999833306714194e-11,5.195894573262194e-06,0.9991796612739563
